;id;codigo;descripcion;latitud;longitud;dupl
141;10228;GYA;GOYA;-37,322771;-59,135301;True
142;10229;PRC;ROSARIO( CIRCUNVALACION);-33,014798;-60,669375;False
143;10230;CTG;CATAMARCA ( AV. GÜEMES);-28,477253;-65,80659;False
144;10231;PCT;CABA- CIT ( NORLOG);-37,322771;-59,135301;True
145;10232;NCA;NECOCHEA;-38,553461;-58,728885999999996;False
146;10241;RFF;RAFAELA H YRIGOYEN;-31,25485;-61,49247;True
147;10243;BRA;BERAZATEGUI;-34,753541999999996;-58,213012;False
148;10244;PVC;PROVEEDOR CORDOBA;-31,40836;-64,23690699999999;False
149;10245;COR;CORDOBA;-31,419714000000003;-64,103349;True
150;10305;-1;NUMERACION;-34,65404;-58,39239;True
151;10306;RPD;RENDICIONES PRE DECOMISO;-34,66568;-58,389729;True
152;10999;GEN;SUCURSAL GENERICA;-37,322771;-59,135301;True
153;19999;ISU;SUCURSAL INTERNACIONAL;-37,322771;-59,135301;True
